Bias,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
1.65000e+00,1.244689e-08,3.025345e-02,-1.333941e-09,2.662787e-02
1.66500e+00,1.203022e-08,3.122879e-02,-1.412177e-09,2.672938e-02
1.68000e+00,1.225375e-08,3.214903e-02,-1.487281e-09,2.679311e-02
1.69500e+00,1.252180e-08,3.311437e-02,-1.559771e-09,2.685260e-02
1.71000e+00,1.158925e-08,3.408288e-02,-1.633139e-09,2.692076e-02
1.72500e+00,1.172653e-08,3.508225e-02,-1.700001e-09,2.698204e-02
1.74000e+00,1.050923e-08,3.610265e-02,-1.769645e-09,2.701655e-02
1.75500e+00,1.112034e-08,3.706786e-02,-1.831032e-09,2.706295e-02
1.77000e+00,1.128806e-08,3.797983e-02,-1.893000e-09,2.708739e-02
1.78500e+00,1.019311e-08,3.893579e-02,-1.955017e-09,2.711117e-02
1.80000e+00,9.076874e-09,3.976594e-02,-2.014283e-09,2.713027e-02
1.81500e+00,1.011189e-08,4.083741e-02,-2.069585e-09,2.715671e-02
1.83000e+00,1.039644e-08,4.172623e-02,-2.122768e-09,2.715991e-02
1.84500e+00,8.423262e-09,4.268815e-02,-2.175860e-09,2.716001e-02
1.86000e+00,8.386382e-09,4.363824e-02,-2.225868e-09,2.717261e-02
1.87500e+00,8.517432e-09,4.459924e-02,-2.277219e-09,2.717875e-02
1.89000e+00,7.562536e-09,4.548252e-02,-2.323817e-09,2.717210e-02
1.90500e+00,7.450890e-09,4.643421e-02,-2.369571e-09,2.717102e-02
1.92000e+00,8.054544e-09,4.727720e-02,-2.415315e-09,2.716025e-02
1.93500e+00,5.669717e-09,4.819821e-02,-2.456751e-09,2.715764e-02
1.95000e+00,6.302530e-09,4.914700e-02,-2.498529e-09,2.713617e-02
1.96500e+00,5.811436e-09,4.994978e-02,-2.538374e-09,2.713785e-02
1.98000e+00,4.840763e-09,5.096887e-02,-2.577830e-09,2.712390e-02
1.99500e+00,4.382499e-09,5.179710e-02,-2.616400e-09,2.711210e-02
2.01000e+00,3.668785e-09,5.261908e-02,-2.653758e-09,2.710427e-02
